code,名称,类型,日期,净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,f1,f2,f3,f4,f5,f6,f7,可购买,f9,起购金额,费率,e1,e2,e3
006482,广发可转债债券A,债券型,2025/11/20,1.9301,-0.35,-2.09,3.21,3.87,22.22,28.06,29.1,23.48,25.75,92.99,3,1,1,0.1,0,,043_045_080,1,1,10元,1.00%,0.10%,0.10%,1,
217018,招商安瑞进取债券A,债券型,2025/11/20,2.3274,-0.52,-2.1,0.97,3.38,20.21,27.88,18.91,18.26,27.24,132.74,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
010629,广发可转债债券E,债券型,2025/11/20,1.9112,-0.35,-2.1,3.2,3.82,22.11,27.81,28.6,22.74,25.53,37.37,3,0,1,0,0,,043_045_080,1,1,10元,,0.00%,,,
006483,广发可转债债券C,债券型,2025/11/20,1.9209,-0.35,-2.1,3.17,3.77,21.98,27.55,28.08,22,25.3,92.07,3,0,1,0,0,,043_045_080,1,1,10元,,0.00%,,,
470058,汇添富可转换债券A,债券型,2025/11/20,2.3062,-0.27,-1.94,5.28,9.87,24.42,27.54,33.69,29.05,25.78,186.41,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
019500,招商安瑞进取债券C,债券型,2025/11/20,2.3179,-0.52,-2.11,0.95,3.31,20.03,27.5,18.27,,26.91,18.26,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
470059,汇添富可转换债券C,债券型,2025/11/20,2.1677,-0.27,-1.95,5.24,9.76,24.17,27.03,32.66,27.51,25.34,170.79,3,0,1,0,0,,043_045,1,1,10元,0.00%,0.00%,0.00%,0,
000003,中海可转债债券A,债券型,2025/11/20,1.008,0.1,-1.08,2.54,0.2,15.6,26.95,23.08,20.86,21.01,18.51,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
090017,大成可转债增强债券A,债券型,2025/11/20,1.9076,-0.51,-2.28,1.84,4.2,20.8,26.94,28.72,23.23,25.1,92.54,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
240018,华宝可转债债券A,债券型,2025/11/20,1.9006,-0.22,-1.96,1.69,1,14.91,26.94,23.72,18.81,25.12,90.06,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
019152,大成可转债增强债券C,债券型,2025/11/20,1.902,-0.51,-2.28,1.83,4.17,20.74,26.83,28.34,,24.99,25.13,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
005461,南方希元可转债债券A,债券型,2025/11/20,1.7479,-0.35,-1.99,2.93,3.35,19.76,26.62,24.25,20.28,24.87,74.79,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
008817,华宝可转债债券C,债券型,2025/11/20,1.8731,-0.22,-1.96,1.67,0.94,14.77,26.62,23.11,17.92,24.85,60.82,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
004993,中欧可转债债券A,债券型,2025/11/20,1.555,-0.31,-2.29,1.56,-0.76,13.46,26.53,25.16,17.8,24.06,55.5,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
000004,中海可转债债券C,债券型,2025/11/20,0.984,0.1,-1.11,2.61,0.1,15.36,26.48,22.08,19.27,20.59,15.69,3,0,1,0,0,,043_045,1,1,10元,0.00%,0.00%,0.00%,0,
004994,中欧可转债债券C,债券型,2025/11/20,1.508,-0.3,-2.29,1.53,-0.85,13.24,26.02,24.18,16.4,23.63,50.8,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
012740,工银平衡回报6个月持有期债券A,债券型,2025/11/20,1.2791,-0.15,-1.58,4.48,14.2,21.16,25.69,26.46,28.93,23.99,27.91,3,1,1,0.08,0,,043_073_701,1,1,10元,0.80%,0.08%,0.08%,1,
005793,华富可转债债券A,债券型,2025/11/20,1.618,-0.33,-2.31,2.2,0.78,14.71,25.51,23.62,13.24,23.3,61.8,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
012741,工银平衡回报6个月持有期债券C,债券型,2025/11/20,1.266,-0.15,-1.58,4.46,14.13,21.02,25.38,25.84,27.97,23.73,26.6,3,0,1,0,0,,043_073_701,1,1,10元,,0.00%,,,
210014,金鹰元丰债券A,债券型,2025/11/20,1.7673,-0.46,-3.16,3.27,-1.37,20.66,25.18,18.2,4.3,26.39,116.33,3,1,1,0.06,0,,043,1,1,10元,0.60%,0.06%,0.06%,1,
022568,金鹰元丰债券D,债券型,2025/11/20,1.7683,-0.46,-3.17,3.26,-1.37,20.66,25.18,,,26.4,23.83,3,1,1,0.05,0,,043,1,1,10元,0.50%,0.05%,0.05%,1,
022127,华富可转债债券C,债券型,2025/11/20,1.6126,-0.33,-2.32,2.17,0.7,14.53,25.14,,,22.98,44.77,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
360013,光大信用添益债券A,债券型,2025/11/20,1.252,-0.4,-2.19,2.04,2.04,17.67,24.95,25.45,20.71,22.62,191.1,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
310518,申万菱信可转债债券A,债券型,2025/11/20,2.16,-0.83,-2.96,6.35,7.46,18.75,24.93,25,26.98,22.17,147.83,3,1,1,0.08,0,,043_045,1,1,100元,0.80%,0.08%,0.08%,1,
720002,财通可转债债券A,债券型,2025/11/20,1.1506,-0.01,-1.33,1.94,1.69,14.68,24.92,26.87,20.68,19.37,59.72,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
610008,信澳信用债债券A,债券型,2025/11/20,1.255,0,-1.26,1.78,1.05,11.65,24.88,22.49,20.62,19.87,99.15,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
610108,信澳信用债债券C,债券型,2025/11/20,1.244,0,-1.27,1.8,0.97,11.57,24.77,22.11,19.97,19.73,91.8,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
360014,光大信用添益债券C,债券型,2025/11/20,1.242,-0.32,-2.13,2.05,1.97,17.5,24.7,24.82,19.63,22.36,178.11,3,0,1,0,0,,043,1,1,10元,0.00%,0.00%,0.00%,0,
014336,金鹰元丰债券C,债券型,2025/11/20,1.732,-0.45,-3.16,3.23,-1.47,20.42,24.69,17.24,3.04,25.95,-16.13,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
015167,申万菱信可转债债券C,债券型,2025/11/20,2.145,-0.79,-2.99,6.35,7.41,18.64,24.64,24.64,26.18,21.94,10,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
003205,财通可转债债券C,债券型,2025/11/20,1.1956,-0.01,-1.33,1.9,1.59,14.46,24.43,25.84,19.23,18.95,24.8,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
202105,南方广利回报债券A/B,债券型,2025/11/20,1.8573,-0.21,-1.38,1.51,2.82,17.54,24.31,24.57,21.95,24.86,134.61,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
005771,银华可转债债券A,债券型,2025/11/20,1.5923,-0.41,-2.93,0.26,-0.93,15.08,24.12,17.9,6.71,23.76,59.21,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
003504,景顺长城景颐丰利债券A,债券型,2025/11/20,1.4591,0.01,-0.57,0.71,4.77,19.03,23.88,32.54,31.58,22.04,53.39,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
202107,南方广利回报债券C,债券型,2025/11/20,1.8949,-0.22,-1.38,1.47,2.72,17.29,23.81,23.61,20.54,24.42,123.17,3,0,1,0,0,,043,1,1,10元,0.00%,0.00%,0.00%,0,
