code,名称,类型,日期,净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,f1,f2,f3,f4,f5,f6,f7,可购买,f9,起购金额,费率,e1,e2,e3
016419,国泰安璟债券A,债券型,2025/11/20,1.0554,-0.07,-0.43,0.36,1.94,3.82,5.89,10.64,,4.77,9.55,3,1,1,0.08,0,,043_701,0,1,10元,0.80%,0.08%,0.08%,1,
009021,鹏华丰诚债券A,债券型,2025/11/20,1.2284,-0.03,-0.15,0.7,0.73,2.78,5.88,9.66,13.05,4.13,22.84,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
013629,广发集悦债券C,债券型,2025/11/20,1.0466,-0.1,-0.64,-0.13,-0.52,3.14,5.88,6.82,4.28,5.33,4.66,3,0,1,0,0,,043_701,1,1,10元,,0.00%,,,
010600,光大安瑞一年持有A,债券型,2025/11/20,1.2146,-0.01,-0.61,0.4,0.83,4.21,5.87,12.83,17.05,5.85,21.46,3,1,1,0.08,0,,043_073_701,1,1,10元,0.80%,0.08%,0.08%,1,
022263,鹏华丰诚债券B,债券型,2025/11/20,1.0698,-0.04,-0.15,0.7,0.72,2.78,5.87,,,4.12,6.98,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
006141,广发集嘉债券C,债券型,2025/11/20,1.2602,-0.28,-0.82,0.08,0.1,4.57,5.86,11.19,12.45,5.13,48.37,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
015070,华宝安宜六个月持有债券C,债券型,2025/11/20,1.1221,-0.08,-0.28,0.24,0.82,2.39,5.86,10.6,12.56,4.19,12.21,3,0,1,0,0,,043_073,1,1,10元,,0.00%,,,
019287,鹏华丰诚债券D,债券型,2025/11/20,1.1058,-0.03,-0.15,0.7,0.73,2.78,5.86,10.14,,4.11,10.58,3,0,1,0,0,,043,1,1,10元,0.00%,0.00%,0.00%,0,
020177,嘉实双季兴享6个月持有债券A,债券型,2025/11/20,1.1061,-0.02,-0.01,0.33,0.32,0.67,5.86,,,3.81,10.61,3,1,1,0.04,0,,043_073,1,1,10元,0.40%,0.04%,0.04%,1,
002724,江信祺福C,债券型,2025/11/20,1.4729,-0.09,-0.12,0,-0.26,3.83,5.84,12.13,15.32,2.81,47.28,3,0,1,0,0,,043,0,1,10元,,0.00%,,,
002925,广发集源债券A,债券型,2025/11/20,1.1644,-0.05,-0.27,0.14,1.43,5.13,5.84,11.41,15.11,6.21,48.68,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
952020,国泰海通君得盈债券A,债券型,2025/11/20,1.0581,-0.25,-1.24,0.63,1.78,4.63,5.84,5.07,4.73,3.78,5.55,3,1,1,0.04,0,,043,1,1,10元,0.40%,0.04%,0.04%,1,
015239,山证资管裕享增强债券发起式A,债券型,2025/11/20,1.1516,-0.31,-1.39,0.1,0.82,5.28,5.83,12.58,15.84,5.16,15.16,3,1,1,0.06,0,,043_080_701,1,1,10元,0.60%,0.06%,0.06%,1,
021429,中泰安弘债券A,债券型,2025/11/20,1.0636,0,0.08,0.47,0.81,1.05,5.83,,,3.22,6.36,3,1,1,0.04,0,,041,1,1,10元,0.40%,0.04%,0.04%,1,
012819,招商享诚增强债券C,债券型,2025/11/20,1.1561,-0.38,-0.29,0.4,2.12,4.93,5.82,12.17,11.01,4.99,15.61,3,0,1,0,0,,043_701,1,1,10元,,0.00%,,,
019372,大成元丰多利债券A,债券型,2025/11/20,1.111,-0.03,-0.18,0.31,0.87,1.89,5.82,11.09,,3.9,11.1,3,1,1,0.08,0,,043_701,1,1,10元,0.80%,0.08%,0.08%,1,
008572,金信民达纯债C,债券型,2025/11/20,1.0278,0,0.01,0.11,0.27,0.78,5.8,9.11,13.19,2.71,27.63,3,0,1,0,0,,043_080,1,1,10元,,0.00%,,,
009735,天弘增强回报债券E,债券型,2025/11/20,1.3112,-0.18,-0.73,-0.19,0.38,3.59,5.8,10.72,11.32,4.76,31.12,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
233013,大摩多元收益债券C,债券型,2025/11/20,1.2332,-0.07,-0.54,1.07,0.29,2.65,5.8,4.98,4.54,2.68,97.89,3,0,1,0,0,,043,1,1,10元,0.00%,0.00%,0.00%,0,
016420,国泰安璟债券C,债券型,2025/11/20,1.0546,-0.07,-0.43,0.35,1.92,3.77,5.8,10.45,,4.68,9.47,3,0,1,0,0,,043_701,0,1,10元,,0.00%,,,
020789,银华季季鑫90天持有期债券A,债券型,2025/11/20,1.0724,0,0.02,0.23,0.49,0.76,5.8,,,2.12,7.24,3,1,1,0.03,0,,043_073,1,1,10元,0.30%,0.03%,0.03%,1,
270030,广发聚财信用债券B,债券型,2025/11/20,1.26,0,-0.16,0.64,0.48,3.03,5.79,8.62,10.43,3.79,88.37,3,0,1,0,0,,043,1,1,10元,0.00%,0.00%,0.00%,0,
002971,前海开源鼎安债券A,债券型,2025/11/20,1.351,-0.15,-1.31,-0.59,1.5,2.82,5.79,5.63,4.73,3.21,35.1,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
020913,东兴鑫颐3个月滚动持有纯债A,债券型,2025/11/20,1.0668,-0.01,-0.06,0.71,1.07,1.06,5.78,,,2.12,6.68,3,1,1,0.07,0,,043_073_074,1,1,10元,0.70%,0.07%,0.07%,1,
000255,长城增强收益定开债券C,债券型,2025/11/20,1.1205,-0.02,-0.15,0.5,0.3,1.7,5.77,13.65,20.88,2.59,81.19,0,0,1,0,0,,043_071,0,6,10元,0.00%,0.00%,0.00%,0,
007115,金元顺安桉盛债券C,债券型,2025/11/20,1.1353,-0.02,-0.03,0.04,0.26,4.89,5.77,7.69,6.53,6.38,18.27,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
013579,鹏扬丰利一年持有债券A,债券型,2025/11/20,1.1903,-0.03,-0.13,0.7,0.91,2.61,5.77,12.72,18.25,3.91,19.03,3,1,1,0.08,0,,043_073,0,1,10元,0.80%,0.08%,0.08%,1,
000171,易方达裕丰回报债券A,债券型,2025/11/20,1.89,-0.16,-0.79,0.32,0.48,2.55,5.76,12.57,14.55,3.45,140.68,3,1,1,0.1,0,,043,1,1,10元,1.00%,0.10%,0.10%,1,
003565,博时安诚3个月定开债C,债券型,2025/11/14,1.1003,,0.07,0.18,0.33,0.83,5.75,11.1,13.1,2.91,29.46,0,0,1,0,0,,041_071,0,5,10元,,0.00%,,,
003564,博时安诚3个月定开债A,债券型,2025/11/14,1.102,,0.07,0.18,0.33,0.82,5.75,11.48,13.82,2.9,33.79,0,1,1,0.06,0,,041_071,0,5,10元,0.60%,0.06%,0.06%,1,
016851,中欧颐利债券C,债券型,2025/11/20,1.0996,-0.1,-0.52,0.51,0.8,2.36,5.75,10.66,,3.95,9.96,3,0,1,0,0,,043_701,1,1,10元,,0.00%,,,
017556,招商安凯债券,债券型,2025/11/20,1.068,-0.11,-0.76,0.53,0.42,3.11,5.72,16.53,,4.64,19.1,0,1,1,0.03,0,,043_701,0,4,---,0.30%,0.03%,0.03%,1,
007129,天弘增强回报债券C,债券型,2025/11/20,1.4487,-0.18,-0.73,-0.2,0.36,3.55,5.71,10.52,11.01,4.68,44.87,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
020915,鹏扬稳鑫120天滚动持有债券A,债券型,2025/11/20,1.0986,0.01,0.05,0.25,0.5,1,5.7,,,2.52,9.86,3,1,1,0.04,0,,041_073_074,1,1,10元,0.40%,0.04%,0.04%,1,
002412,华富安福债券A,债券型,2025/11/20,1.1077,-0.11,-0.69,0.22,0.86,5,5.69,10.68,7.77,3.34,35.98,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
003471,前海联合添鑫3个月开债A,债券型,2025/11/14,1.2734,-0.23,-0.05,-0.4,0.94,3.82,5.68,9.91,8.35,3.91,33.5,0,1,1,0.08,0,,043_071,0,5,10元,0.80%,0.08%,0.08%,1,
005159,华泰保兴尊合债券A,债券型,2025/11/20,1.2708,-0.01,-0.11,0.52,0.33,1.83,5.68,12.43,15.81,3.17,52.63,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
022130,华富安福债券D,债券型,2025/11/20,1.1074,-0.11,-0.69,0.22,0.86,5,5.68,,,3.34,8.18,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
881013,招商资管智远增利债券C,债券型,2025/11/20,1.1072,-0.06,-0.5,0.16,2.02,4.25,5.65,11.02,11.04,4.89,10.72,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
020677,大成元辰招利债券C,债券型,2025/11/20,1.066,-0.06,-0.36,0.79,1.26,2.18,5.65,,,3.86,6.6,0,0,1,0,0,,043_701,0,4,10元,,0.00%,,,
110007,易方达稳健收益债券A,债券型,2025/11/20,1.4288,-0.1,-0.69,0.56,0.14,2.76,5.62,11.32,13.38,3.6,249.62,3,0,1,0,0,,043,1,1,10元,0.00%,0.00%,0.00%,0,
009764,惠升和悦债券C,债券型,2025/11/20,1.0832,-0.47,-1.94,-0.4,0.14,3,5.62,9.67,9.93,4.11,58.84,3,0,1,0,0,,043_701,1,1,10元,,0.00%,,,
018481,中金恒新90天持有债券发起,债券型,2025/11/20,1.0855,-0.11,-0.54,0.3,1.33,4.81,5.62,7.5,,4.12,8.55,3,1,1,0.06,0,,043_073_080_701,1,1,10元,0.60%,0.06%,0.06%,1,
015257,鹏华畅享债券C,债券型,2025/11/20,1.1144,-0.1,-0.33,0.22,0.55,2.88,5.61,11.89,12.08,4.28,11.44,3,0,1,0,0,,043_701,1,1,10元,,0.00%,,,
015434,金元顺安鼎泰债券A,债券型,2025/11/20,1.0732,-0.1,-0.55,0.52,0.98,3.42,5.61,,,4.89,7.32,3,1,1,0.06,0,,043,1,1,10元,0.60%,0.06%,0.06%,1,
012397,南方佳元6个月持有债券A,债券型,2025/11/20,1.166,-0.11,-0.73,0.23,1.5,4,5.6,11.51,14.26,4.33,16.6,3,1,1,0.04,0,,043_073_701,1,1,10元,0.40%,0.04%,0.04%,1,
017121,南方贤元一年持有债券A,债券型,2025/11/20,1.0992,-0.14,-0.81,-0.66,2.49,4.52,5.6,9.76,,4.03,9.92,3,1,1,0.08,0,,043_073_701,1,1,10元,0.80%,0.08%,0.08%,1,
020790,银华季季鑫90天持有期债券C,债券型,2025/11/20,1.0696,0,0.02,0.22,0.43,0.67,5.6,,,1.94,6.96,3,0,1,0,0,,043_073,1,1,10元,,0.00%,,,
022329,中泰安弘债券C,债券型,2025/11/20,1.0611,-0.01,0.07,0.45,0.75,0.94,5.6,,,3.02,5.94,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
007520,富安达富利纯债A,债券型,2025/11/20,1.1558,0,0.05,0.73,0.94,1.43,5.59,9.94,12.66,3.26,24.62,3,1,1,0.06,0,,041,1,1,10元,0.60%,0.06%,0.06%,1,
007446,中欧增强回报债券(LOF)C,债券型,2025/11/20,1.1007,0,-0.13,0.63,0.36,2.51,5.59,11.28,13.37,3.82,8.92,3,0,1,0,0,,043,1,1,10元,0.00%,0.00%,0.00%,0,
010630,惠升和睿兴利债券A,债券型,2025/11/20,1.0689,-0.16,-1.43,0.91,0.5,1.64,5.58,7.07,9.24,2.48,6.89,3,1,1,0.08,0,,043_701,1,1,10元,0.80%,0.08%,0.08%,1,
020325,南方佳元6个月持有债券E,债券型,2025/11/20,1.1647,-0.11,-0.73,0.23,1.49,4,5.58,,,4.32,12.42,3,0,1,0,0,,043_073_701,1,1,10元,,0.00%,,,
020916,鹏扬稳鑫120天滚动持有债券C,债券型,2025/11/20,1.0972,0.01,0.05,0.24,0.48,0.95,5.58,,,2.43,9.72,3,0,1,0,0,,041_073_074,1,1,10元,,0.00%,,,
020178,嘉实双季兴享6个月持有债券C,债券型,2025/11/20,1.1017,-0.01,-0.01,0.31,0.25,0.54,5.58,,,3.56,10.17,3,0,1,0,0,,043_073,1,1,10元,,0.00%,,,
000181,景顺长城四季金利债券A,债券型,2025/11/20,1.266,0,0,0.96,0.96,2.26,5.57,10.94,14.96,3.76,76.36,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
519078,汇添富增强收益债券A,债券型,2025/11/20,1.1773,-0.04,-0.1,0.73,0.39,2.47,5.56,11.62,14.28,3.33,113.71,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
009022,鹏华丰诚债券C,债券型,2025/11/20,1.2078,-0.03,-0.16,0.68,0.66,2.63,5.56,9,12.02,3.85,20.78,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
014386,华富安业一年持有债券C,债券型,2025/11/20,1.0685,-0.11,-0.56,0.43,1.15,3.36,5.56,9.29,7.3,4.6,6.85,3,0,1,0,0,,043_073_701,1,1,10元,,0.00%,,,
021960,建信双债增强债券F,债券型,2025/11/20,1.31,-0.08,-0.23,0.69,0.61,3.56,5.56,,,5.48,6.07,3,0,1,0,0,,043,1,1,100万,,0.00%,,,
000207,建信双债增强债券A,债券型,2025/11/20,1.255,-0.08,-0.24,0.64,0.64,3.55,5.55,7.99,10.58,5.55,54.61,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
012603,富安达富利纯债C,债券型,2025/11/20,1.1662,-0.01,0.05,0.73,0.91,1.38,5.55,9.75,12.34,3.23,18.36,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
013548,招商享利增强债券A,债券型,2025/11/20,1.0767,-0.09,-0.53,0.16,1.01,3.01,5.55,8.91,8.88,4.03,7.67,3,1,1,0.08,0,,043_701,1,1,10元,0.80%,0.08%,0.08%,1,
015019,蜂巢丰颐债券A,债券型,2025/11/20,1.0715,-0.06,-0.35,0.19,0.83,2.64,5.55,10.79,14.92,3.89,15.9,0,1,1,0.06,0,,043,0,4,10元,0.60%,0.06%,0.06%,1,
015465,兴证全球兴益债券C,债券型,2025/11/20,1.0906,-0.03,-0.58,0.66,1.97,4.07,5.55,9.82,10.03,5,9.06,3,0,1,0,0,,043_701,1,1,10元,,0.00%,,,
110036,易方达双债增强债券C,债券型,2025/11/20,1.828,0,-0.16,0.44,0.05,1.61,5.54,10.52,12.08,4.04,151.55,3,0,1,0,0,,043,1,1,10元,0.00%,0.00%,0.00%,0,
004104,中信保诚稳鑫债券A,债券型,2025/11/20,1.1658,0.01,0.04,0.72,0.9,0.5,5.53,8.87,16.82,1.22,45.98,3,1,1,0.08,0,,041,0,1,10元,0.80%,0.08%,0.08%,1,
004024,华泰保兴尊诚一年定开债,债券型,2025/11/14,1.2083,,0.13,0.79,-0.07,1.59,5.53,12.19,14.09,3.07,58.17,0,1,1,0.06,0,,043_071,0,6,10元,0.60%,0.06%,0.06%,1,
110017,易方达增强回报债券A,债券型,2025/11/20,1.407,-0.07,-0.28,0.43,1.52,3.3,5.53,15.7,18.91,4.52,281.64,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
017475,广发集轩债券A,债券型,2025/11/20,1.1146,-0.11,-0.59,-0.15,1.76,3.78,5.53,12.13,,5.54,11.46,3,1,1,0.08,0,,043_701,1,1,10元,0.80%,0.08%,0.08%,1,
022044,招商安宁债券A,债券型,2025/11/20,1.0561,-0.08,-0.71,0.14,0.8,3,5.53,,,5.13,5.61,3,1,1,0.08,0,,043_701,1,1,10元,0.80%,0.08%,0.08%,1,
002969,易方达丰和债券A,债券型,2025/11/20,1.4567,-0.18,-0.84,0.21,0.55,2.98,5.52,10.78,11.91,3.39,57.45,3,1,1,0.1,0,,043,1,1,10元,1.00%,0.10%,0.10%,1,
003222,新华丰利债券C,债券型,2025/11/20,1.1069,-0.14,-0.54,0.82,1.21,4.35,5.51,14.48,13.22,4.72,35.28,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
015323,广发集源债券E,债券型,2025/11/20,1.154,-0.06,-0.29,0.11,1.35,4.97,5.51,10.73,14.07,5.93,15.9,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
019373,大成元丰多利债券C,债券型,2025/11/20,1.1043,-0.03,-0.18,0.28,0.79,1.74,5.51,10.43,,3.63,10.43,3,0,1,0,0,,043_701,1,1,10元,,0.00%,,,
675081,西部利得祥盈债券A,债券型,2025/11/20,1.2743,-0.17,-0.6,0.67,1.3,2.82,5.5,9.82,10.63,4.67,54.63,3,1,1,0.06,0,,043,1,1,10元,0.60%,0.06%,0.06%,1,
005964,中欧安财定开债发起式,债券型,2025/11/14,1.1073,,0.12,0.63,0.48,2.14,5.48,10.44,12.72,3.47,41.22,0,1,1,0.08,0,,043_071_080,0,6,1元,0.80%,0.08%,0.08%,1,
009018,西部利得聚泰18个月定开债A,债券型,2025/11/20,1.1223,-0.02,-0.2,0.97,0.69,2.12,5.48,10.96,16.3,4.32,33.46,0,1,1,0.06,0,,043_071,0,6,10元,0.60%,0.06%,0.06%,1,
005160,华泰保兴尊合债券C,债券型,2025/11/20,1.251,-0.01,-0.11,0.51,0.29,1.72,5.47,11.98,15.12,2.98,50.24,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
006059,鹏扬泓利债券A,债券型,2025/11/20,1.0983,-0.14,-0.68,0.32,1.18,3.01,5.47,10.32,11.52,4.61,31.23,3,1,1,0.1,0,,043_701,1,1,10元,1.00%,0.10%,0.10%,1,
008069,鹏扬富利增强债A,债券型,2025/11/20,1.1437,-0.12,-0.55,0.94,1.12,2.8,5.47,9.19,9.68,3.3,14.37,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
020917,鹏扬稳鑫120天滚动持有债券E,债券型,2025/11/20,1.0951,0,0.04,0.22,0.45,0.88,5.47,,,2.33,9.51,3,0,1,0,0,,041_073_074,1,1,10元,,0.00%,,,
022264,鹏华丰诚债券E,债券型,2025/11/20,1.0651,-0.04,-0.16,0.67,0.64,2.58,5.47,,,3.77,6.51,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
006842,南方国利6个月定开债,债券型,2025/11/20,1.0801,0,0.04,0.27,0.5,0.99,5.46,9.75,12.57,2.14,27.59,0,1,1,0.08,0,,041_071_080,0,6,---,0.80%,0.08%,0.08%,1,
180025,银华信用双利债券A,债券型,2025/11/20,1.2233,-0.1,-0.66,0.32,0.97,3.49,5.46,7.31,6.56,4.56,93.88,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
013580,鹏扬丰利一年持有债券C,债券型,2025/11/20,1.1753,-0.03,-0.14,0.68,0.82,2.46,5.46,11.97,16.98,3.63,17.53,3,0,1,0,0,,043_073,0,1,10元,,0.00%,,,
015716,华夏稳享增利6个月滚动持有债A,债券型,2025/11/20,1.1767,-0.02,-0.25,0.56,1.69,2.63,5.46,12.24,18.39,3.6,17.67,3,1,1,0.04,0,,043_073_074_701,1,1,10元,0.40%,0.04%,0.04%,1,
010601,光大安瑞一年持有C,债券型,2025/11/20,1.1909,-0.01,-0.63,0.36,0.73,4,5.45,11.93,15.64,5.47,19.09,3,0,1,0,0,,043_073_701,1,1,10元,,0.00%,,,
020914,东兴鑫颐3个月滚动持有纯债C,债券型,2025/11/20,1.0623,-0.01,-0.06,0.68,0.98,0.89,5.45,,,1.83,6.23,3,0,1,0,0,,043_073_074,1,1,10元,,0.00%,,,
021554,兴业恒悦180天持有期债券A,债券型,2025/11/20,1.0676,-0.05,-0.2,0.39,1.04,1.73,5.45,,,3.57,6.76,3,1,1,0.04,0,,043_073_701,1,1,10元,0.40%,0.04%,0.04%,1,
165517,中信保诚双盈债券(LOF)A,债券型,2025/11/20,1.0163,-0.05,-0.26,1.16,0.45,3.08,5.44,7.66,10.59,4.23,166.88,3,1,1,0.08,0,,020_043,1,1,10元,0.80%,0.08%,0.08%,1,
202101,南方宝元债券A,债券型,2025/11/20,2.7692,-0.21,-1.16,0.58,2.37,5.26,5.43,11.62,11.61,4.78,684.22,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
003039,广发集富纯债A,债券型,2025/11/20,1.034,0,0,0.49,0.88,1.26,5.43,10.66,13.46,2.64,56.07,3,1,1,0.08,0,,041,0,1,10元,0.80%,0.08%,0.08%,1,
004105,中信保诚稳鑫债券C,债券型,2025/11/20,1.1665,0.01,0.03,0.71,0.88,0.46,5.43,8.63,16.48,1.14,46,3,0,1,0,0,,041,0,1,10元,,0.00%,,,
002749,嘉实稳盛债券,债券型,2025/11/20,1.162,-0.03,-0.43,0.35,0.96,2.69,5.43,8.4,9.73,4.49,21.89,3,1,1,0.08,0,,043,0,1,10元,0.80%,0.08%,0.08%,1,
000208,建信双债增强债券C,债券型,2025/11/20,1.245,-0.08,-0.24,0.65,0.48,3.41,5.42,7.46,9.55,5.15,47.84,3,0,1,0,0,,043,1,1,10元,0.00%,0.00%,0.00%,0,
002712,广发集丰债券C,债券型,2025/11/20,1.1793,-0.15,-0.56,0.1,1.05,2.14,5.42,7.95,10.04,3.59,46.32,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
015240,山证资管裕享增强债券发起式C,债券型,2025/11/20,1.136,-0.31,-1.4,0.06,0.72,5.07,5.42,11.7,14.53,4.8,13.6,3,0,1,0,0,,043_080_701,1,1,10元,,0.00%,,,
016416,南方稳鑫6个月持有债券A,债券型,2025/11/20,1.1383,-0.04,-0.45,0.34,0.72,1.69,5.42,9.39,,3.13,13.83,3,1,1,0.04,0,,043_073_701,1,1,10元,0.40%,0.04%,0.04%,1,
020962,中信保诚双盈债券(LOF)D,债券型,2025/11/20,1.0161,-0.05,-0.26,1.16,0.45,3.07,5.42,,,4.2,7.13,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
952320,国泰海通君得盈债券C,债券型,2025/11/20,1.0383,-0.24,-1.25,0.59,1.67,4.4,5.41,4.23,3.47,3.41,3.57,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
021883,南方宝元债券E,债券型,2025/11/20,2.7699,-0.21,-1.16,0.58,2.36,5.25,5.41,,,4.77,9.03,3,0,1,0,0,,043,1,1,1000元,,0.00%,,,
018763,汇添富稳荣回报债券发起式A,债券型,2025/11/20,1.1226,-0.11,-0.52,0.39,0.75,2.86,5.4,12.27,,3.32,12.26,3,1,1,0.07,0,,043_080,1,1,10元,0.70%,0.07%,0.07%,1,
002972,前海开源鼎安债券C,债券型,2025/11/20,1.311,-0.15,-1.28,-0.61,1.39,2.58,5.39,4.8,3.55,2.82,31.1,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
675083,西部利得祥盈债券C,债券型,2025/11/20,1.2146,-0.17,-0.61,0.65,1.28,2.76,5.39,9.6,10.3,4.57,48.63,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
002926,广发集源债券C,债券型,2025/11/20,1.1448,-0.05,-0.28,0.1,1.33,4.92,5.39,10.5,13.71,5.82,44.43,0,0,1,0,0,,043,0,4,10元,,0.00%,,,
018640,华安沣润债券A,债券型,2025/11/20,1.0938,-0.05,-0.29,0.16,0.95,3.52,5.39,9.02,,4.55,9.38,3,1,1,0.08,0,,043_701,1,1,10元,0.80%,0.08%,0.08%,1,
015969,博时富尊一年定开债发起式,债券型,2025/11/14,1.0744,,0.15,0.74,0.82,2.33,5.38,9.48,12.45,3.66,13.93,0,1,1,0.03,0,,043_071_080,0,5,10元,0.30%,0.03%,0.03%,1,
000174,汇添富高息债债券A,债券型,2025/11/20,1.794,-0.01,-0.14,0.76,0.36,3.09,5.37,9.26,11.64,4.39,83.99,3,1,1,0.1,0,,043,1,1,10元,1.00%,0.10%,0.10%,1,
003612,南方卓元债券A,债券型,2025/11/20,1.1315,-0.13,-0.54,0.35,1.65,3.48,5.37,9.46,10.64,4.58,44.52,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
011091,工银双玺6个月持有期债券A,债券型,2025/11/20,1.1294,-0.05,-0.39,0.46,1.48,3.13,5.37,11.68,13.94,3.89,12.94,3,1,1,0.05,0,,043_073_701,1,1,10元,0.50%,0.05%,0.05%,1,
016759,东吴添利三个月定开债券A,债券型,2025/11/20,1.1069,0.02,0.05,0.26,0.44,0.55,5.37,10.52,,1.64,12.77,0,1,1,0.05,0,,041_071,0,6,---,0.50%,0.05%,0.05%,1,
022129,华富安福债券C,债券型,2025/11/20,1.1032,-0.11,-0.69,0.18,0.78,4.84,5.37,,,3.06,7.77,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
007008,中邮纯债优选一年定开债A,债券型,2025/11/14,1.1155,,0.15,0.87,1.09,2.91,5.35,10.7,14.65,3.69,31.78,0,1,1,0.06,0,,043_071,0,6,10元,0.60%,0.06%,0.06%,1,
012338,中信建投双鑫债券A,债券型,2025/11/20,1.0695,-0.04,-0.23,0.26,0.21,2.2,5.35,8.77,7.27,2.79,6.95,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
014732,德邦锐升债券A,债券型,2025/11/20,1.0587,0,0.05,0.52,0.84,0.24,5.35,,,0.36,6.08,0,1,1,0.08,0,,041,0,4,---,0.80%,0.08%,0.08%,1,
002986,泰康丰盈债券A,债券型,2025/11/20,1.4296,-0.2,-1.45,2.33,-1.26,2.88,5.33,9.51,11.7,4.95,42.96,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
007752,中银招利债券A,债券型,2025/11/20,1.1558,-0.15,-0.59,-0.17,1.84,4.51,5.33,9.38,11.07,4.67,27.22,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
164606,华泰柏瑞信用增利债(LOF)A,债券型,2025/11/20,1.2298,-0.19,-1.14,1.43,-1.16,4.16,5.32,5.34,6.82,4.35,75.36,3,1,1,0.08,0,,020_043,1,1,10元,0.80%,0.08%,0.08%,1,
013788,华泰柏瑞信用增利债(LOF)B,债券型,2025/11/20,1.2301,-0.19,-1.14,1.43,-1.17,4.16,5.32,5.32,6.8,4.34,17.56,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
013691,兴华安恒纯债A,债券型,2025/11/20,1.0601,0,0.08,0.61,0.6,0.4,5.32,8.95,11.79,4.67,14.24,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
016479,易方达裕丰回报债券C,债券型,2025/11/20,1.864,-0.16,-0.8,0.27,0.32,2.36,5.31,11.62,13.18,3.1,10.62,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
620003,金元顺安丰利债券A,债券型,2025/11/20,1.0482,-0.06,-0.23,0.53,1.32,3.32,5.3,1.53,0.45,4.98,46.8,3,1,1,0.06,0,,043,1,1,10元,0.60%,0.06%,0.06%,1,
015435,金元顺安鼎泰债券C,债券型,2025/11/20,1.0702,-0.1,-0.56,0.49,0.9,3.26,5.29,,,4.6,7.02,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
021853,博时稳健恒利债券A,债券型,2025/11/20,1.0518,-0.09,-0.57,-0.17,0.66,3.79,5.29,,,4.56,5.18,3,1,1,0.05,0,,043_701,1,1,10元,0.50%,0.05%,0.05%,1,
000310,安信永利信用债券A,债券型,2025/11/20,1.5261,0.01,0.03,0.31,0.4,1.43,5.28,12.11,15.09,3.05,110.31,0,99,1,0.7,0,,043_071,0,6,10元,0.70%,0.70%,0.70%,99,
519121,浦银安盛6个月持有期债券A,债券型,2025/11/20,1.1572,0.02,0.06,0.66,1.1,2.86,5.28,9.4,11.16,3.92,56.35,3,1,1,0.04,0,,043_073,1,1,10元,0.40%,0.04%,0.04%,1,
012902,平安添悦债券A,债券型,2025/11/20,1.1162,-0.09,-0.66,0.45,0.5,2.66,5.28,10.77,22.27,3.08,21.24,3,1,1,0.06,0,,043_701,1,1,10元,0.60%,0.06%,0.06%,1,
