编码,年份,收益,回撤
国债总指数,2002,4.096900000000005,2.609722999838681
国债总指数,2003,0.18389999999999418,4.071224312546871
国债总指数,2004,-3.565799999999996,6.25897440564169
国债总指数,2005,11.665500000000009,2.1562408071816703
国债总指数,2006,2.6888000000000005,1.2077699810237672
国债总指数,2007,-2.4846000000000004,3.963453399451438
国债总指数,2008,18.6511,2.816419321055455
国债总指数,2009,-3.079199999999986,4.022947168059917
国债总指数,2010,2.161599999999993,4.218194201278493
国债总指数,2011,8.789799999999985,1.518495874654227
国债总指数,2012,3.875199999999978,1.5219354261966684
国债总指数,2013,-3.947499999999991,5.8518044913631035
国债总指数,2014,15.41579999999999,1.6760649212398042
国债总指数,2015,12.61529999999999,1.8887170606143362
国债总指数,2016,3.9355999999999938,4.4672895279079485
国债总指数,2017,-2.664199999999994,2.4884701371866216
国债总指数,2018,14.880600000000015,1.3394877007498895
国债总指数,2019,6.653199999999998,1.8040823776088635
国债总指数,2020,5.190200000000004,4.128112528224205
国债总指数,2021,11.785300000000007,0.8840111275225644
国债总指数,2022,7.129199999999997,1.3566486799490418
国债总指数,2023,10.65100000000001,0.8447757196412328
国债总指数,2024,21.519000000000005,1.7559874186231208
国债总指数,2025,-0.09420000000000073,2.387236873263094
7-10年国开行债券指数,2012,0.6156000000000006,2.5143555574956498
7-10年国开行债券指数,2013,-4.478800000000007,8.41230805570742
7-10年国开行债券指数,2014,16.596400000000003,3.6783124356900045
7-10年国开行债券指数,2015,11.128100000000003,3.8735836921342046
7-10年国开行债券指数,2016,-0.9481000000000108,5.551180979098038
7-10年国开行债券指数,2017,-4.983800000000002,4.778153102678304
7-10年国开行债券指数,2018,15.242799999999988,1.3804506465862016
7-10年国开行债券指数,2019,5.040400000000005,1.6324774022265522
7-10年国开行债券指数,2020,5.125500000000017,5.383542784045782
7-10年国开行债券指数,2021,10.072899999999976,0.9551096471989488
7-10年国开行债券指数,2022,5.390699999999981,1.195844111636315
7-10年国开行债券指数,2023,8.039599999999979,0.7590100699447867
7-10年国开行债券指数,2024,16.498999999999995,1.6572402672402498
7-10年国开行债券指数,2025,-0.2956000000000074,2.4897613652089747
企业债总指数,2006,-0.5544999999999902,0.7689258660175278
企业债总指数,2007,-7.798000000000002,8.433147862246456
企业债总指数,2008,15.7975,2.6091935305951957
企业债总指数,2009,-0.6800000000000068,3.3376765634238157
企业债总指数,2010,5.001100000000008,4.131659480659835
企业债总指数,2011,4.441400000000002,2.072445755529269
企业债总指数,2012,8.556799999999996,1.105708214636726
企业债总指数,2013,2.198900000000009,2.6853783483048215
企业债总指数,2014,14.846500000000006,2.6738281559969996
企业债总指数,2015,15.556899999999985,0.8430615389582655
企业债总指数,2016,3.8766999999999996,3.6473169547057824
企业债总指数,2017,2.9191000000000145,1.3019745025640088
企业债总指数,2018,13.457000000000022,0.43377880107252803
企业债总指数,2019,11.327499999999986,0.3845365081511937
企业债总指数,2020,7.480199999999996,1.385849707542132
企业债总指数,2021,11.81189999999998,0.21664905374227428
企业债总指数,2022,6.372700000000009,2.003056551668881
企业债总指数,2023,15.174999999999983,0.3558094511115861
企业债总指数,2024,12.985600000000005,0.7568395603468934
企业债总指数,2025,5.0274,0.483259570516556
公司债总指数,2013,1.2162000000000006,2.7280288435127673
公司债总指数,2014,10.089200000000005,1.8935551979710925
公司债总指数,2015,10.762199999999993,0.7682267191115071
公司债总指数,2016,3.2462000000000018,3.3443136201122825
公司债总指数,2017,2.2638000000000034,1.0006579516512708
公司债总指数,2018,8.973100000000002,0.44359732580047895
公司债总指数,2019,6.58359999999999,0.26015635288860384
公司债总指数,2020,4.435100000000006,1.2579417223208158
公司债总指数,2021,4.63300000000001,0.29904820265994825
公司债总指数,2022,2.5046000000000106,1.1978930892406239
公司债总指数,2023,6.899600000000021,0.3376249688219387
公司债总指数,2024,7.741199999999992,0.702595460499894
公司债总指数,2025,2.93010000000001,0.599941803244613
