indexCode,indexName,indexNameEn,查看地址
000070,能源等权,SSE Energy EW,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000070
000071,材料等权,SSE Materials EW,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000071
000072,工业等权,SSE Industrials EW,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000072
000073,可选等权,SSE Cons Disc EW,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000073
000074,消费等权,SSE Cons Staples EW,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000074
000075,医药等权,SSE Health Care EW,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000075
000076,金融等权,SSE Financials EW,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000076
000077,信息等权,SSE Info Tech EW,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000077
000078,通信等权,SSE Communication Services EW,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000078
000079,公用等权,SSE Utilities EW,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000079
000090,上证流通,SSE Free Float,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000090
000091,沪财中小,SSE Wealth Mid-Small,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000091
000092,资源50,SSE Resource 50,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000092
000093,180分层,SSE 180 Sector Equal Weight,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000093
000094,上证上游,SSE Upstream,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000094
000095,上证中游,SSE Midstream,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000095
000096,上证下游,SSE Downstream,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000096
000097,高端装备,SSE High-End Equipment,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000097
000098,上证F200,SSEF 200,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000098
000099,上证F300,SSEF 300,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000099
000100,上证F500,SSEF 500,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000100
000101,5年信用,SSE 5-Year Credit Bond,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000101
000102,沪投资品,SSE Investment,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000102
000103,沪消费品,SSE Consume,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000103
000104,380能源,380 Energy,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000104
000105,380材料,380 Materials,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000105
000106,380工业,380 Industrials,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000106
000107,380可选,380 Cons Discretionary,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000107
000108,380消费,380 Cons Staples,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000108
000109,380医药,380 Health Care,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000109
000110,380金融,380 Financials,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000110
000111,380信息,380 Information,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000111
000112,380通信,380 Communication,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000112
000113,380公用,380 Utilities,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000113
000114,持续产业,Sustainable industry,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000114
000115,380等权,SSE 380 Equal Weight,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000115
000116,信用100,SSE Credit Bond 100,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000116
000117,380成长,380 Growth,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000117
000118,380价值,380 Value,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000118
000119,380R成长,380R Growth,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000119
000120,380R价值,380R Value,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000120
000121,医药主题,Health Care theme,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000121
000122,上证农业,SSE Agriculture,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000122
000123,180动态,180 Dynamic,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000123
000125,180稳定,180 Stability,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000125
000126,消费50,Consumer 50,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000126
000128,380基本,SSE380FI,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000128
000129,180波动,SSE180VW,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000129
